setting,method,accuracy,precision,recall,f1,macro_f1,roc_auc,best_single_module,best_single_f1,gain_over_best_single,gain_over_stacking,gain_over_mlp_gate
M4_to_M4,TF-IDF,0.8311688311688312,0.8512145748987854,0.7948960302457467,0.8220918866080157,0.8307282027920926,0.9136477734048157,RoBERTa,0.9473206176203451,,,
M4_to_M4,Signal,0.7639146567717996,0.7647058823529411,0.7495274102079396,0.7570405727923628,0.7637255186920768,0.8453038864269458,RoBERTa,0.9473206176203451,,,
M4_to_M4,RoBERTa,0.9461966604823747,0.9117132867132867,0.9858223062381852,0.9473206176203451,0.9461721571514048,0.9944223213886048,RoBERTa,0.9473206176203451,,,
M4_to_M4,NaiveAverage,0.9517625231910947,0.9281867145421903,0.9773156899810964,0.9521178637200737,0.9517598664394761,0.9830461640170649,RoBERTa,0.9473206176203451,,,
M4_to_M4,SimpleStacking,0.9517625231910947,0.9236234458259325,0.9829867674858223,0.9523809523809523,0.9517543859649122,0.9859221612762162,RoBERTa,0.9473206176203451,,,
M4_to_M4,SignalAwareMLPGate,0.9573283858998145,0.9382940108892922,0.9773156899810964,0.9574074074074074,0.9573282390196889,0.9804959868604544,RoBERTa,0.9473206176203451,,,
M4_to_M4,HierarchicalEnsemble,0.948051948051948,0.937962962962963,0.9574669187145558,0.9476145930776426,0.948048326897607,0.9852894590955888,RoBERTa,0.9473206176203451,0.00029397545729747954,-0.0047663593033097085,-0.009792814329764754
M4_Heldout_ChatGPT,TF-IDF,0.8806541405706333,0.6504424778761062,0.6137787056367432,0.631578947368421,0.7801864012324771,0.7196747263518243,RoBERTa,0.7641476274165202,,,
M4_Heldout_ChatGPT,Signal,0.7425191370911621,0.36002860207365034,0.7007654836464857,0.4756731223429381,0.6525175757756196,0.7743884775025678,RoBERTa,0.7641476274165202,,,
M4_Heldout_ChatGPT,RoBERTa,0.9221758292739504,0.7720170454545454,0.756437021572721,0.7641476274165202,0.858773584525678,0.7949105773500715,RoBERTa,0.7641476274165202,,,
M4_Heldout_ChatGPT,NaiveAverage,0.9284388772906518,0.8032544378698225,0.755741127348643,0.7787737540337039,0.8680447808563538,0.7853893206144983,RoBERTa,0.7641476274165202,,,
M4_Heldout_ChatGPT,SimpleStacking,0.9285548596613314,0.8033998521803399,0.756437021572721,0.7792114695340502,0.8682967545539353,0.7758027360217031,RoBERTa,0.7641476274165202,,,
M4_Heldout_ChatGPT,SignalAwareMLPGate,0.926699141730457,0.7940102264426588,0.756437021572721,0.774768353528154,0.8654974888571647,0.85113965391248,RoBERTa,0.7641476274165202,,,
M4_Heldout_ChatGPT,HierarchicalEnsemble,0.9275110183252145,0.7980910425844346,0.756437021572721,0.7767059664165773,0.8667191998922623,0.9594446212025459,RoBERTa,0.7641476274165202,0.012558339000057095,-0.002505503117472885,0.0019376128884233124
